japanese_name,english_name,debut,affiliations,origin,age,birthday,blood_type,bounty,description,devil_fruit_name,avatar_src
モンキー・Dディー・ガープ,Monkey D. Garp,Chapter 92 (cover); Episode 68,Marines (semi-retired),East Blue (Goa Kingdom),76 (debut) 78 (after timeskip),May 2nd,F," (3,000,000,000)","Monkey D. Garp, also known as ""Garp the Fist"", is an extremely famous and powerful Marine Vice Admiral. He is the father of Monkey D. Dragon, the paternal grandfather of Monkey D. Luffy, and the adoptive grandfather of Portgas D. Ace. He was responsible for overseeing Ace's birth and raising a young Luffy, before entrusting them both to the Dadan Family.",N/A,https://onepieceql.s3.amazonaws.com/Monkey_D._Garp_Anime.jpg
クロオビ,Kuroobi,Chapter 69; Episode 31,Arlong Pirates; Sun Pirates (former),"Grand Line (Ryugu Kingdom, Fish-Man Island)",36 (debut) 38 (after timeskip),October 25th,S,"9,000,000","Kuroobi is a ray fish-man and an officer of the Arlong Pirates, who was once a member of the Sun Pirates. He is one of the major antagonists of the Arlong Park Arc.",N/A,https://onepieceql.s3.amazonaws.com/Kuroobi_Anime.jpg
クロマーリモ,Kuromarimo,Chapter 131; Episode 79,"Bliking Pirates (disbanded), Drum Kingdom (former)",Grand Line (Drum Kingdom),28 (debut) 30 (after timeskip),January 26th,F,N/A,"Kuromarimo was the magistrate during Wapol's rule on Drum Island, and was the highest-ranking law officer below Wapol. After fleeing Drum Island to escape Blackbeard's attack, Kuromarimo became part of the Bliking Pirates.",N/A,https://onepieceql.s3.amazonaws.com/Kuromarimo_Anime.jpg
ラッシュ,Rush,Chapter 558,Ally of the Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Rush_Manga.jpg
デラクアヒ,Delacuaji,Chapter 551; Episode 460,Subordinate of the Whitebeard Pirates,N/A,N/A,September 1st,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Delacuaji_Anime.jpg
タマゴン,Tamagon,Chapter 325; Episode 231,Franky Family; Galley-La Company,N/A,N/A,N/A,N/A,N/A,Tamagon is a member of the Franky Family.,N/A,https://onepieceql.s3.amazonaws.com/Tamagon_Manga_Post_Timeskip.jpg
海の主,N/A,Chapter 319; Episode 227,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Master_of_the_Waters_Anime.jpg
タマチビ,"Tamachibi (Funimation), Tama (Viz)",Chapter 134; Episode 81,Stool Restaurant,Grand Line (Drum Island),N/A,June 17th,N/A,N/A,"Tamachibi is a child Dr. Kureha healed while she was in Cocoa Weed. He lives with his father, who is the owner of Stool, a restaurant in town.",N/A,https://onepieceql.s3.amazonaws.com/Tamachibi_Anime.jpg
オリバ,Oliva,"One Piece novel A, Volume 2",Whitebeard Pirates (former),N/A,N/A,N/A,N/A,N/A,"Oliva is the former boss of Port Chibaralta Island, which was part of Whitebeard's territory. However, he was deposed by Portgas D. Ace due to partaking in the slave trade.",N/A,https://onepieceql.s3.amazonaws.com/NoPicAvailable.jpg
ドリンゴ,Doringo,Chapter 0; Episode 0,Roger Pirates,N/A,N/A,N/A,N/A,N/A,Doringo was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.,N/A,https://onepieceql.s3.amazonaws.com/Doringo_Anime.jpg
ユースタス・キッド,Eustass Kid,Chapter 498; Episode 392,Kid Pirates Ninja-Pirate-Mink-Samurai Alliance,South Blue,21 (debut) 23 (after timeskip),January 10th,F,"3,000,000,000 470,000,000 315,000,000","Eustass ""Captain"" Kid is a notorious pirate from the South Blue and the captain of the Kid Pirates. He is one of twelve pirates who are referred to as the ""Worst Generation"".",Jiki Jiki no Mi,https://onepieceql.s3.amazonaws.com/Eustass_Kid_Anime_Post_Timeskip.jpg
フェン・ボック,Fen Bock,Chapter 668; Episode 593,Caesar Clown,N/A,N/A,N/A,N/A,N/A,"Fen Bock of the Gourd is an ex-prisoner. During the Punk Hazard Arc, he worked as a satyr henchman for Caesar Clown.",N/A,https://onepieceql.s3.amazonaws.com/Fen_Bock_Anime.jpg
左大臣,Minister of the Left,Chapter 612; Episode 531,Ryugu Kingdom,Grand Line (Ryugu Kingdom),62,July 2nd,X,N/A,"The Minister of the Left is a catfish merman in service of King Neptune. While it is not clear what his job entails, it appears to involve some sort of administrative and military duties. His actual name is currently unknown.",N/A,https://onepieceql.s3.amazonaws.com/Minister_of_the_Left_Anime.jpg
ミノチワワ,Minochihuahua,Chapter 662 (cover),Impel Down,N/A,N/A,N/A,N/A,N/A,Minochihuahua is the newest Jailer Beast in Impel Down. He is a Zoan Devil Fruit user who ate a fruit that allows him to turn into a chihuahua.,N/A,https://onepieceql.s3.amazonaws.com/Minochihuahua_Manga.jpg
フィガーランド・ガーリング聖,Saint Figarland Garling,Chapter 1086,World Government (God's Knights); Figarland Family,N/A,N/A,N/A,N/A,N/A,"Saint Figarland Garling is a World Noble of the Figarland Family and the Supreme Commander (最高司令官, Saikō Shireikan?) of the God's Knights, of whom he is the first to be introduced. He was formerly active as a ""champion"" on God Valley.",N/A,https://onepieceql.s3.amazonaws.com/Figarland_Garling_Manga.jpg
フィナモレ,Finamore,Chapter 552; Episode 461,Spade Pirates,N/A,N/A,N/A,N/A,N/A,Finamore is a member of the Spade Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Finamore_Anime.jpg
道たく,Dotaku,Chapter 926; Episode 918,Kozuki Family,N/A,N/A,N/A,N/A,N/A,Dotaku is a samurai who resides in Wano Country.,N/A,https://onepieceql.s3.amazonaws.com/Dotaku_Anime.jpg
右大臣,Minister of the Right,Chapter 612; Episode 531,Ryugu Kingdom,Grand Line (Ryugu Kingdom),55,April 5th,XF,N/A,"The Minister of the Right is a seahorse merman in service to King Neptune. While it is not clear exactly what his job entails, he appears to have some administrative and military duties. He also appears to be a guard or commander as he and the other guards hurried to the princess when she needed help. His actual name is unknown.",N/A,https://onepieceql.s3.amazonaws.com/Minister_of_the_Right_Anime.jpg
ムーン・アイザックJr.ジュニア,Moon Isaac Jr.,Chapter 966; Episode 969,Roger Pirates,N/A,N/A,N/A,N/A,N/A,Moon Isaac Jr. was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.,N/A,https://onepieceql.s3.amazonaws.com/Moon_Isaac_Jr._Anime.jpg
Mr.ラブ,Mr. Love,"Chapter 206, Episode 125",Baroque Works (Billions); Rebel Army (ruse),N/A,N/A,N/A,N/A,N/A,Mr. Love is one of Baroque Works' Billions who posed as a member of the Rebel Army.,N/A,https://onepieceql.s3.amazonaws.com/Mr._Love_Anime.jpg
ドロウ,Dorrow,One Piece novel A,Marines,N/A,N/A,N/A,N/A,N/A,Draw is a Marine Vice Admiral and the main antagonist of One Piece novel A Volume 1.,N/A,https://onepieceql.s3.amazonaws.com/NoPicAvailable.jpg
Mr. メロウ,Mr. Melow,Chapter 159; Episode 95,Baroque Works (Billions),N/A,N/A,N/A,N/A,N/A,Mr. Mellow is one of the only identified members of Baroque Works' Billions.,N/A,https://onepieceql.s3.amazonaws.com/Mr._Mellow_Anime.jpg
ムーディ,Moody,Chapter 43; Episode 20,N/A,East Blue,N/A,November 17th,N/A,N/A,Moodie is a woman who Fullbody took to the Baratie.,N/A,https://onepieceql.s3.amazonaws.com/Moodie_Anime.jpg
モンブラン・ノーランド,"Mont Blanc Noland (Viz); Montblanc Noland (uncut Funimation); Monbran Noland (edited Funimation), Mombran Noland (4kids)",Chapter 286; Episode 187,Lvneel,North Blue,N/A,October 9th,S,N/A,"Mont Blanc Noland was an admiral (提督, Teitoku?) in the Lvneel Kingdom who made multiple trips into the Grand Line. He discovered a city of gold on Jaya, but found upon returning there with Lvneel's king that it had disappeared, causing him to be executed. He was then memorialized in a fairy tale as a liar and trickster.",N/A,https://onepieceql.s3.amazonaws.com/Mont_Blanc_Noland_Anime.jpg
ドリップ,"Gack (VIZ); Drip (Funimation, WT100)",Chapter 598; Episode 518,Fake Straw Hat Crew,East Blue,24,October 22nd,XF,N/A,Drip was a member of the Fake Straw Hat Crew who was posing as the real Sanji.,N/A,https://onepieceql.s3.amazonaws.com/Drip_Anime.jpg
パンダマン,Panda Man Pandaman (WT100),Chapter 44; We Are!; Episode 16,N/A,Tibet,Even he does not know,February 29th,N/A,"3,333,333","Pandaman is a joke character created by Eiichiro Oda, and one of the most prominent easter eggs in One Piece.",N/A,https://onepieceql.s3.amazonaws.com/Pandaman_Manga.jpg
Mr.ミスター モモラ,Mr. Momora,Chapter 966; Episode 966,Roger Pirates,N/A,N/A,N/A,N/A,N/A,Mr. Momora was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.,N/A,https://onepieceql.s3.amazonaws.com/Mr._Momora_Anime.jpg
ボニー海賊団,Bonney Pirates,N/A,N/A,N/A,N/A,N/A,N/A,"At least 320,000,000 At least 140,000,000","The Bonney Pirates are an infamous and notable rookie pirate crew from South Blue that made their debut on the Sabaody Archipelago the same time the Straw Hat Pirates arrived there two years ago. As such, they are part of the Worst Generation. Following being defeated by the Blackbeard Pirates and captured by Akainu in the New World, Bonney was taken to Marine Headquarters, during which she was able to escape unlike her crew.",N/A,https://onepieceql.s3.amazonaws.com/Bonney_Pirates%27_Jolly_Roger.jpg
ポツーン,Potsun,Chapter 217; Episode 130,N/A,N/A,N/A,N/A,N/A,N/A,Dr. Potsun is an Arabasta doctor who runs an isolated clinic in the desert. He managed to recuperate Pell after his near-fatal sacrifice at Alubarna.,N/A,https://onepieceql.s3.amazonaws.com/Potsun_Anime.jpg
タロウ,Taro,Chapter 0; Episode 0,Roger Pirates,N/A,N/A,N/A,N/A,N/A,Taro was a member of the Roger Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Taro_Anime.jpg
ページワン,Page One,Chapter 929; Episode 923,Beasts Pirates (Tobiroppo),Grand Line,20,February 10th,X,"290,000,000","Page One is one of the Tobiroppo, the strongest Shinuchi of the Beasts Pirates. He is the younger brother of fellow Tobiroppo Ulti.","Ryu Ryu no Mi, Model: Spinosaurus",https://onepieceql.s3.amazonaws.com/Page_One_Anime.jpg
N/A,Sapoten Graveyard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Sapoten Graveyard, also known as Cactus Rock (サボテン岩, saboten iwa?, English versions: Cactus Rocks) is a graveyard located on Whisky Peak. The large, cactus-like appearance of Sapoten Graveyard makes it a notable landmark of Cactus Island.",N/A,https://onepieceql.s3.amazonaws.com/Sapoten_Graveyard.jpg
モンブラン・クリケット,"Mont Blanc Cricket (Viz), Montblanc Cricket (Uncut Funimation), Monbran Cricket (Edited Funimation), Mombran Cricket (4Kids)",Chapter 227; Episode 148,Saruyama Alliance; His original crew (former),North Blue,41 (debut) 43 (after timeskip),September 11th,S,"25,000,000","Mont Blanc Cricket is an inhabitant of Jaya, living in a small home behind the facade of a castle. He is the distant descendant of Mont Blanc Noland and the ""Last Boss"" (最終園長ラストボス, Rasuto Bosu?) of the Saruyama Alliance.",N/A,https://onepieceql.s3.amazonaws.com/Mont_Blanc_Cricket_Manga_Post_Timeskip.jpg
オニ丸,Onimaru,Chapter 936; Episode 932,Shimotsuki Family (Shimotsuki Ushimaru); Kozuki Family (Kawamatsu),N/A,69,November 19th,X,N/A,"Onimaru is a komagitsune who was once the companion of the late daimyo of Ringo, Shimotsuki Ushimaru.","Hito Hito no Mi, Model: Onyudo",https://onepieceql.s3.amazonaws.com/Onimaru_Anime.jpg
オトヒメ,Otohime,"Chapter 621; Episode 539 (image), Episode 540",Neptune Family; Ryugu Kingdom,Grand Line (Ryugu Kingdom),N/A,January 10th,S,N/A,"Queen Otohime was a goldfish mermaid, the queen of the Ryugu Kingdom, the wife of king Neptune, and the mother of Fukaboshi, Ryuboshi, Manboshi, and Shirahoshi.",N/A,https://onepieceql.s3.amazonaws.com/Otohime_Anime.jpg
ドンキホーテ・ホーミング,Don Quixote Homing,Chapter 760; Episode 699,World Government (Former),N/A,N/A,N/A,N/A,N/A,"Saint Donquixote Homing was the father of Doflamingo and Rosinante. A former World Noble of the Donquixote Family, he withdrew from his position and left Mary Geoise in order to live a normal life with his family. After suffering two years of abuse from prejudiced civilians, Homing was killed by his then ten-year-old son, Doflamingo.",N/A,https://onepieceql.s3.amazonaws.com/Donquixote_Homing_Anime.jpg
モンキー・Dディー・ドラゴン,Monkey D. Dragon,Chapter 100; Episode 52,Revolutionary Army; Freedom Fighters (former); Marines (defected),East Blue (Goa Kingdom),53 (debut) 55 (after timeskip),October 5th,F,Unknown,"Monkey D. Dragon, also known as the ""Rebellious Dragon"", is the infamous Supreme Commander (総司令官, Sōshireikan?) of the Revolutionary Army and one of its founding members, as well as formerly the captain of the Freedom Fighters. He used to be part of the Marines but became disillusioned with the organization's outlook on justice; this, along with the fallout from the Ohara Incident, sparked Dragon's desire to attempt to overthrow the World Government, with his endeavors ultimately causing him to be labeled the ""World's Worst Criminal"".",N/A,https://onepieceql.s3.amazonaws.com/Monkey_D._Dragon_Anime.jpg
ポートガス・Dディー・ルージュ,Portgaz D. Rouge,Chapter 550; Episode 0,Gol D. Roger; Portgas D. Ace,N/A,N/A,June 10th,N/A,N/A,Portgas D. Rouge was the mother of Portgas D. Ace and the lover of Gol D. Roger.,N/A,https://onepieceql.s3.amazonaws.com/Portgas_D._Rouge_Anime.jpg
ソドム,"Sodomu (VIZ), Sodom (FUNimation)",Chapter 366; Episode 256,Franky Family,N/A,N/A,August 6th,N/A,N/A,N/A,N/A,https://onepieceql.s3.amazonaws.com/Sodom_Anime.jpg
テート,N/A,Chapter 234; Episode 151,Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,Tate is a nurse who worked for the Whitebeard Pirates as part of the crew's medical division.,N/A,https://onepieceql.s3.amazonaws.com/Tate_Anime.jpg
テガタ・リンガナ,Needa Hand,Chapter 785; Episode 727,N/A,N/A,N/A,N/A,N/A,N/A,Tegata Ringana is a doctor on Dressrosa.,N/A,https://onepieceql.s3.amazonaws.com/Tegata_Ringana_Anime.jpg
フレア,Flair,Monsters; ONA 1,Gérard,N/A,N/A,N/A,N/A,N/A,Flare is a character from Eiichiro Oda's One-Shot Monsters.,N/A,https://onepieceql.s3.amazonaws.com/Flare_Anime.jpg
タロイモ,Taroimo,Chapter 523; Episode 418,Karakuri Island,N/A,N/A,October 16th,N/A,N/A,Taroimo is a cyborg dog from Karakuri Island.,N/A,https://onepieceql.s3.amazonaws.com/Taroimo_Anime.jpg
ティー4世,N/A,Chapter 823; Episode 777,Levely,N/A,N/A,N/A,N/A,N/A,Tea IV is the king of Eigis Kingdom on the Grand Line and one of fifty monarchs who took part in the Levely.,N/A,https://onepieceql.s3.amazonaws.com/Tea_IV_Anime.jpg
ミュグレン大佐,Muegren,Chapter 966; Episode 966,Roger Pirates,N/A,N/A,N/A,N/A,N/A,Colonel Mugren was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.,N/A,https://onepieceql.s3.amazonaws.com/Mugren_Anime.jpg
ムチャナー,Notta Magician,Chapter 536; Episode 437,Impel Down,N/A,N/A,N/A,N/A,N/A,Muchana is a doctor who currently works in Impel Down's medical room.,N/A,https://onepieceql.s3.amazonaws.com/Muchana_Anime.jpg
フラッパー,Flapper,Chapter 711; Episode 641,Tontatta Kingdom; Tonta Corps; Straw Hat Grand Fleet,N/A,N/A,July 28th,N/A,N/A,"Flapper is a dwarf from Tontatta Kingdom who first appeared on Green Bit, when he stopped Leo from taking Robin's clothes and belongings. He participated in Operation SOP and became a temporary victim of Sugar's Hobi Hobi no Mi.",N/A,https://onepieceql.s3.amazonaws.com/Flapper_Anime.jpg
ラングラム,Langram,Chapter 966,Roger Pirates,N/A,N/A,N/A,N/A,N/A,Rangram was a member of the Roger Pirates until the crew's dissolution. His current whereabouts and status are unknown.,N/A,https://onepieceql.s3.amazonaws.com/Rangram_Manga.jpg
コ十郎,N/A,Chapter 926; Episode 918,Kozuki Family; Ninja-Pirate-Mink-Samurai Alliance,N/A,N/A,N/A,N/A,N/A,"Kojuro is a samurai who allied with the Kozuki Family. After waiting 20 years for the return of the Nine Red Scabbards, he affiliated with the Ninja-Pirate-Mink-Samurai Alliance to raid Onigashima.",N/A,https://onepieceql.s3.amazonaws.com/Kojuro_Anime.jpg
狛ちよ,Komachiyo,Chapter 910; Episode 892,Kurozumi Tama,N/A,N/A,N/A,N/A,N/A,Komachiyo is a komainu that resides in the Kuri region of Wano Country. It has been Kurozumi Tama's best friend since their childhood.,N/A,https://onepieceql.s3.amazonaws.com/Komachiyo_Anime.jpg
クロツル,Blackbeard,Chapter 276 (cover),N/A,N/A,N/A,N/A,N/A,N/A,"Dr. Kurotsuru, also named ""Dr. Black Beard"" based on the same name on the lapel of his coat, is a doctor who appeared in Ace's cover story.",N/A,https://onepieceql.s3.amazonaws.com/Kurotsuru_Manga.jpg
天井下り,Tenjo-Sagari,"Chapter 980, Episode 986",Beasts Pirates,N/A,N/A,N/A,N/A,N/A,Tenjo-Sagari is a Gifter in the Beasts Pirates who works under Black Maria.,N/A,https://onepieceql.s3.amazonaws.com/Tenjo-Sagari_Anime.jpg
グレートミカエル,Great Michael,Chapter 563,Ally of the Whitebeard Pirates,N/A,N/A,N/A,N/A,N/A,Great Michael is an infamous New World pirate who allied himself with Whitebeard.,N/A,https://onepieceql.s3.amazonaws.com/Great_Michael_Manga.jpg
シャーロット・ガラ,Charlotte Gala,SBS Volume 85 (Mentioned),Charlotte Family,N/A,46,September 29th,N/A,N/A,"Charlotte Gala is the ninth son and the 14th child of the Charlotte Family and the youngest quintuplet brother of Opera, Counter, Cadenza, and Cabaletta.",N/A,https://onepieceql.s3.amazonaws.com/Charlotte_Gala_Manga.jpg
ゲルニカ,Guernica,Chapter 705; Episode 635,CP0,N/A,N/A,N/A,N/A,N/A,Guernica is a masked agent of CP0.,N/A,https://onepieceql.s3.amazonaws.com/Guernica_Anime.jpg
フォッサ,Fossa,Chapter 553; Episode 461,Whitebeard Pirates,North Blue,Over 30,April 15th,N/A,N/A,Fossa is the former 15th division commander of the Whitebeard Pirates.,N/A,https://onepieceql.s3.amazonaws.com/Fossa_Anime.jpg
港友,Minatomo,Chapter 909; Episode 892,N/A,N/A,N/A,N/A,N/A,N/A,"Minatomo is a legendary carpenter in Wano Country and the leader of a guild that Franky joined to get access to the blueprints of Kaidou's fortress. He is related to another person, whose name is also Minatomo, who is a descendant of someone who traveled from Wano to East Blue.",N/A,https://onepieceql.s3.amazonaws.com/Minatomo_%28Wano%29_Anime.jpg
ギョル,Gyoll (WT100); Gyoru (Live-Action),Chapter 1; Episode 45,N/A,East Blue (Goa Kingdom),N/A,March 7th,N/A,N/A,Gyoru is a fishmonger in Foosha Village and the husband of Chicken. Luffy bought fish from him when he was a kid.,N/A,https://onepieceql.s3.amazonaws.com/Gyoru_Anime.jpg
